ID,Вышестоящий ГО,Исполняющий ГО,Level,FunctionText,Type,Sphere,Sphere_2,Sphere_3,Anomaly,CollisionWith
АДГС-2,Республика Казахстан,АДГС,1,"разработка и принятие нормативных правовых актов в сферах государственной службы, оценки качества оказания государственных услуг, государственного контроля за качеством оказания государственных услуг, формирования и реализации антикоррупционной политики, координации в сфере противодействия коррупции, минимизации причин и условий, способствующих совершению коррупционных правонарушений, а также формирования антикоррупционной культуры в соответствии с законодательством республики казахстан",Регулятивные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-20,Республика Казахстан,АДГС,1,проведение оценки личных качеств граждан с выдачей по ее результатам соответствующего заключения,Реализационные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-21,Республика Казахстан,АДГС,1,"согласование занятия административных государственных должностей корпуса ""Б"" без проведения конкурса лицами, указанными в части второй пункта 3, в пунктах 3-2, 4, 5, 7 статьи 15 закона республики казахстан ""О государственной службе республики казахстан""",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-22,Республика Казахстан,АДГС,1,"утверждение правил согласования занятия административных государственных должностей корпуса ""Б"" без проведения конкурса лицами, указанными в части второй пункта 3, в пунктах 3-2, 4, 5, 7 статьи 15 закона республики казахстан ""О государственной службе республики казахстан""",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-23,Республика Казахстан,АДГС,1,"разработка и утверждение типовых квалификационных требований к административным государственным должностям корпуса ""Б""",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-24,Республика Казахстан,АДГС,1,"согласование увольнений административных государственных служащих, не прошедших испытательный срок",Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-25,Республика Казахстан,АДГС,1,определение порядка и условий прохождения испытательного срока и порядка закрепления наставников,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-26,Республика Казахстан,АДГС,1,определение порядка стажировки административных государственных служащих,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-27,Республика Казахстан,АДГС,1,осуществление координации деятельности государственных органов по организации проведения стажировок административных государственных служащих,Общие функции,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-28,Республика Казахстан,АДГС,1,"согласование перечня должностей правоохранительных органов, замещаемых на конкурсной основе, условий и порядка проведения конкурса и стажировки в правоохранительных органах, а также квалификационных требований к категориям должностей правоохранительных органов",Регулятивные,03.1.0 Полицейские службы (CS),03.1 Полицейские службы,03 Общественный порядок и безопасность,,
АДГС-29,Республика Казахстан,АДГС,1,утверждение типовых квалификационных требований к категориям должностей правоохранительных органов по согласованию с правоохранительными органами,Регулятивные,03.1.0 Полицейские службы (CS),03.1 Полицейские службы,03 Общественный порядок и безопасность,,
АДГС-3,Республика Казахстан,АДГС,1,"разработка перечня уполномоченных лиц, осуществляющих оценку деятельности политических государственных служащих",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-30,Республика Казахстан,АДГС,1,определение порядка разработки и утверждения должностной инструкции административного государственного служащего,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-31,Республика Казахстан,АДГС,1,утверждение типового положения о службе управления персоналом (кадровой службе),Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-32,Республика Казахстан,АДГС,1,утверждение положения о координационном совете служб управления персоналом (кадровых служб),Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-33,Республика Казахстан,АДГС,1,разработка и утверждение типовых форм документов кадрового делопроизводства административной государственной службы,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-34,Республика Казахстан,АДГС,1,"определение порядка заключения, продления и расторжения трудового договора с административными государственными служащими корпуса ""А""",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-35,Республика Казахстан,АДГС,1,разработка и представление на утверждение президенту республики казахстан реестра должностей политических и административных государственных служащих,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-36,Республика Казахстан,АДГС,1,"утверждение методики оценки деятельности административных государственных служащих корпуса ""А"", а также типовой методики оценки деятельности административных государственных служащих корпуса ""Б""",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-37,Республика Казахстан,АДГС,1,"осуществление государственного контроля за соблюдением законодательства республики казахстан в сфере государственной службы государственными органами, а также служебной этики государственными служащими",Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-38,Республика Казахстан,АДГС,1,"утверждение форм уведомлений о начале проверки, продлении сроков и (или) приостановлении (возобновлении) сроков проверки, об изменении состава проверяющих должностных лиц уполномоченного органа или его территориального подразделения, справки о результатах проверки и представления об устранении нарушений, выявленных по результатам проверки",Контрольные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-39,Республика Казахстан,АДГС,1,"разработка порядка прикомандирования государственных служащих к государственным органам, международным и иным организациям",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-4,Республика Казахстан,АДГС,1,"консультирование государственных служащих и граждан по вопросам, входящим в компетенцию агентства",Реализационные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-40,Республика Казахстан,АДГС,1,"разработка и утверждение правил исчисления стажа работы государственных служащих, дающего право на установление должностного оклада, по согласованию с администрацией президента республики казахстан и аппаратом правительства республики казахстан",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-41,Республика Казахстан,АДГС,1,"проведение мониторинга и анализа по вопросам дебюрократизации государственного аппарата, в том числе с изучением внутренних административных процедур государственных органов",Контрольные,"01.5.0 НИОКР, связанные с государственными службами общего назначения (CS)","01.5 Ниокр, связанные с государственными службами общего назначения",01 Государственные службы общего назначения,,
АДГС-42,Республика Казахстан,АДГС,1,обеспечение реализации государственной политики в сфере оказания государственных услуг в пределах своей компетенции,Общие функции,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-43,Республика Казахстан,АДГС,1,"осуществление государственного контроля за качеством оказания государственных услуг, выработка предложений на основе анализа и мониторинга, направленных на предупреждение нарушений при их оказании и обеспечение прав и законных интересов услугополучателей",Контрольные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-44,Республика Казахстан,АДГС,1,"формирование, реализация, мониторинг реализации и оценка результатов государственного социального заказа по проведению общественного мониторинга качества оказания государственных услуг",Реализационные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-45,Республика Казахстан,АДГС,1,разработка и утверждение правил государственного контроля за качеством оказания государственных услуг,Регулятивные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-46,Республика Казахстан,АДГС,1,разработка и утверждение методики оценки качества оказания государственных услуг по согласованию с уполномоченным органом в сфере информатизации,Регулятивные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-47,Республика Казахстан,АДГС,1,"утверждение описания идентификационных карт, порядка их выдачи и использования",Регулятивные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-48,Республика Казахстан,АДГС,1,"разработка и утверждение перечня документов, необходимых для ведения личного дела государственного служащего",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-49,Республика Казахстан,АДГС,1,"рассмотрение, анализ, мониторинг и выявление системных проблем, поднимаемых гражданами в обращениях, запросах, откликах и сообщениях",Контрольные,03.3.0 Суды (CS),03.3 Суды,03 Общественный порядок и безопасность,,
АДГС-5,Республика Казахстан,АДГС,1,осуществление в государственных органах оценки эффективности управления персоналом и качества оказания государственных услуг,Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-50,Республика Казахстан,АДГС,1,"определение значений результатов обучения, предоставляющих возможность занятия административных государственных должностей корпуса ""Б"" без проведения конкурса лицам, окончившим обучение в организациях образования в рамках государственного заказа по программам высшего и (или) послевузовского образования",Регулятивные,09.4.2 Второй этап высшего образования (IS),09.4 Высшее образование,09 Образование,,
АДГС-51,Республика Казахстан,АДГС,1,разработка и утверждение правил проведения мониторинга соблюдения режима рабочего времени государственными органами,Регулятивные,"04.1.2 Общие вопросы, относящиеся к рабочей силе (CS)","04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
АДГС-52,Республика Казахстан,АДГС,1,"осуществление мониторинга соблюдения режима рабочего времени государственными органами, а также по его итогам проведение проверок",Контрольные,"04.1.2 Общие вопросы, относящиеся к рабочей силе (CS)","04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
АДГС-53,Республика Казахстан,АДГС,1,"разработка и утверждение правил применения дистанционной работы, комбинированной дистанционной работы, работы в режиме гибкого рабочего времени для государственных служащих",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-54,Республика Казахстан,АДГС,1,разработка и утверждение правил определения соотношения руководящего и исполнительского состава административных государственных служащих по согласованию с администрацией президента республики казахстан и аппаратом правительства республики казахстан,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-55,Республика Казахстан,АДГС,1,"согласование проектов нормативных правовых актов, связанных с оплатой труда административных и политических государственных служащих",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-56,Республика Казахстан,АДГС,1,"согласование квалификационных требований, предъявляемых к административным государственным должностям корпуса ""Б"" государственных органов",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-57,Республика Казахстан,АДГС,1,"утверждение правил согласования квалификационных требований, предъявляемых к административным государственным должностям корпуса ""Б"" государственных органов",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-58,Республика Казахстан,АДГС,1,"разработка правил исчисления размера, назначения, перерасчета, осуществления, прекращения, возврата, приостановления и возобновления ротационных выплат государственным служащим, ротированным в другой населенный пункт",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-59,Республика Казахстан,АДГС,1,разработка и утверждение правил передачи имущества государственных служащих в доверительное управление,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-6,Республика Казахстан,АДГС,1,"участие в подготовке проектов международных договоров по вопросам государственной службы и антикоррупционной политики, взаимодействие с соответствующими органами иностранных государств по вопросам государственной службы, оказания государственных услуг, антикоррупционной политики, участие в пределах своих полномочий в деятельности международных организаций",Общие функции,01.1.3 Международные отношения (CS),"01.1 Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения",01 Государственные службы общего назначения,,
АДГС-60,Республика Казахстан,АДГС,1,"проведение мониторинга структур и штатных расписаний государственных органов, а также должностных инструкций на соответствие правилам определения соотношения руководящего и исполнительского состава административных государственных служащих",Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-61,Республика Казахстан,АДГС,1,согласование квалификационных требований контрактного служащего и алгоритма его взаимодействия с государственным органом,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-62,Республика Казахстан,АДГС,1,мониторинг качества заполнения личных дел государственных служащих в автоматизированной базе данных (информационной системе) по персоналу государственной службы,Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-63,Республика Казахстан,АДГС,1,"разработка и утверждение совместно с уполномоченным органом в сфере развития системы государственного управления распределения обязанностей (функциональных направлений деятельности) для заместителей и руководителей аппаратов акимов областей, городов республиканского значения, столицы",Регулятивные,01.1.1 Исполнительные и законодательные органы (CS),"01.1 Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения",01 Государственные службы общего назначения,,
АДГС-64,Республика Казахстан,АДГС,1,"разработка и утверждение формы распределения обязанностей (функциональных направлений деятельности) для политических государственных служащих центральных государственных органов, к которым законодательством установлены квалификационные требования",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-65,Республика Казахстан,АДГС,1,"проведение анализа распределений обязанностей (функциональных направлений деятельности) между политическими государственными служащими, должностных инструкций административных государственных служащих",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-66,Республика Казахстан,АДГС,1,"утверждение порядка работы в интегрированной информационной системе ""е-қызмет""",Регулятивные,01.3.3 Другие общие службы (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-67,Республика Казахстан,АДГС,1,"формирование и внедрение единой кадровой системы (информационной системы) в подведомственных организациях государственных органов, финансируемых за счет государственного бюджета",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-68,Республика Казахстан,АДГС,1,"выявление причин и условий, способствующих совершению коррупционных правонарушений в деятельности государственных органов, организаций и субъектов квазигосударственного сектора, в соответствии с законом республики казахстан ""О противодействии коррупции""",Контрольные,03.1.0 Полицейские службы (CS),03.1 Полицейские службы,03 Общественный порядок и безопасность,,
АДГС-69,Республика Казахстан,АДГС,1,осуществление внешнего анализа коррупционных рисков,Контрольные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-7,Республика Казахстан,АДГС,1,"взаимодействие с другими государственными органами в сферах государственной службы, оказания государственных услуг и антикоррупционной политики",Общие функции,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-70,Республика Казахстан,АДГС,1,"мониторинг исполнения государственными органами, организациями, субъектами квазигосударственного сектора рекомендаций по устранению причин и условий, способствующих совершению коррупционных правонарушений, вынесенных по результатам внешнего анализа коррупционных рисков",Контрольные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
АДГС-71,Республика Казахстан,АДГС,1,"внесение на рассмотрение правительства республики казахстан рекомендаций по минимизации и устранению причин и условий возникновения коррупции в деятельности государственных органов, организаций и субъектов квазигосударственного сектора",Регулятивные,01.1.1 Исполнительные и законодательные органы (CS),"01.1 Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения",01 Государственные службы общего назначения,,
